mun_code,year,prec1,prec2,prec3,prec4,prec5,prec6,prec7,prec8,prec9,prec10,prec11,prec12
1053,2013,40.38,64.96,156.53,179.07,295.52,130.37,130.75,140.52,90.54,125.8,121.76,87.59
1053,2014,106.14,116.96,84.2,83.28,125.44,177.3,289.61,145.4,124.92,101.31,258.4,87.01
1053,2015,54.03,146.63,148.45,128.79,165.12,161.42,96.31,167.67,135.99,143.08,16.04,12.15
1053,2016,39.88,130.87,116.1,123.13,185.1,162.03,137.56,135.92,110.29,122.96,318.97,55.53
1053,2017,18.77,72.79,138.33,93.48,115.04,169.46,104.93,89.69,75.13,8.79,66.45,89.82
1053,2018,227.41,100.13,142.88,190.34,242.45,178.71,189.92,82.95,116.71,231.29,259.94,26.41
1053,2019,9.95,38.17,22.55,159.25,118.48,139.79,218.34,104.07,115.28,179.41,307.77,122.17
1053,2020,20.56,13.58,110.29,103.65,172.09,200.21,131.19,149.42,111.31,131.03,20.18,73.31
1053,2021,97.15,52.99,35.01,115.36,148.77,139.57,147.86,90.8,75.92,77.54,158.61,37.17
1053,2022,2.62,11.99,49.12,109.77,168.25,127.17,103.93,144.11,80.36,123.35,51.06,74.03
1058,1991,61.8,15.34,226.47,89.68,143.95,44,16.76,31.03,98.48,126.52,26.71,15.19
1058,1992,52.66,32.47,30.26,116.54,69.99,250.32,79.05,26.23,132.24,217.56,35.99,53.36
1058,1993,15.03,11.65,144.37,180.58,74.52,87.07,33.67,51.05,207.81,151.18,98.55,20.73
1058,1994,118.22,112.71,19.42,125.55,127.16,92.72,16.4,31.46,287.73,85.2,248.13,32.62
1058,1995,28.83,49.23,11.09,173.73,129.59,145.85,24.66,44.99,147.17,28.24,89.18,82.78
1058,1996,157.59,101.37,82.95,80.58,71,52.69,43.97,71.25,71.77,238.21,127.61,150.78
1058,1997,96.38,7.69,5.21,16.43,27.4,167.3,53.63,52.52,6.79,28.9,82.9,93.79
1058,1998,35.21,40.08,16.28,117.1,132.32,48.73,43.88,37.43,48.41,112,14.18,21.65
1058,1999,102.37,6.9,68.86,63.29,192.61,89.4,17.8,75.39,106.29,122.35,107.87,39.06
1058,2000,7.61,7.17,45.95,163.58,53.13,109.7,59.18,84.83,96.91,274.98,172.74,62.04
1058,2001,58.32,54.51,123.3,38.25,165.03,25.83,70.88,54.68,60.34,88.43,45.76,10.83
1058,2002,22.59,173.6,45.8,84.41,222.18,122.86,100.18,180.12,89.1,83.57,201.93,79.05
1058,2003,27.73,16.73,8.48,71.36,27.1,29.66,17.03,22.95,30.38,47.51,145.53,153.58
1058,2004,90.71,129.73,37.66,127.42,110.56,47.79,24.8,24.68,34.06,125.24,109.46,67.41
1058,2005,9.38,21.07,33.98,134.1,66.33,37.43,31.31,105.48,124.85,133.45,34.8,43.42
1058,2006,75.03,60.95,40.37,36.92,46.41,15.6,14.4,51.23,272.49,41.41,44.03,42.44
1058,2007,36.43,24.11,67.92,31.29,148.38,119.55,15.86,82.65,51.11,72.33,61.81,18.78
1058,2008,95.29,24.72,30.61,97.33,191.32,85.27,76.49,24.5,96.82,39.21,224.8,260.18
1058,2009,96.67,50.62,100.79,301.55,35.77,60.5,24.98,41,94.7,63.95,97.95,87.34
1058,2010,88.95,91.11,118.16,54.34,173.28,158.49,26.36,111.52,60.97,127.63,224.86,99.85
1058,2011,30.53,70.61,212.83,23.08,25.39,171.27,85.84,21.67,62.32,40.63,228.87,17.75
1058,2012,64.85,25.07,66.96,127.17,164.38,52.25,94.95,39.61,103.76,61.65,180.13,29.83
1058,2013,47.14,56.08,166.69,155.17,222.41,58.88,56.88,52.71,40.54,122.56,121.01,97.44
1058,2014,113.44,113.1,121.4,84.4,100.33,110.38,148.8,77.7,50.89,69.34,225.44,88.55
1058,2015,47.85,143.68,136.59,93.87,130.64,113.07,20.26,104.86,87.64,134.13,7.96,13.66
1058,2016,23.98,131.41,99.72,58.65,119.07,64.21,39.45,68.2,65.19,84.6,279.54,57.66
1058,2017,13.8,61.76,96.17,85.1,56.46,99.67,31.78,24.99,47.3,3.57,68.54,62.19
1058,2018,154.41,91.35,127.9,128.72,176.86,107.44,53.42,14.3,54.08,175.55,197.89,14.29
1058,2019,11.23,34.66,14.34,129.27,103.19,57.76,115.1,54,76.72,141.47,309.7,85.41
1058,2020,17.92,5.28,74.33,75.02,126.88,90,38.18,68.14,59.67,96.53,10.46,83.95
1058,2021,112.37,34.94,15.86,64.99,87.95,40.15,72.98,45.27,37.8,57.75,146.99,23.54
