"iso","model","tas"
"IT-SO","CNRM-ESM2-1",2.83400133300215
"IT-SP","CNRM-ESM2-1",12.8545871633231
"IT-SR","CNRM-ESM2-1",17.7200777572878
"IT-SS","CNRM-ESM2-1",15.7337974645266
"IT-SV","CNRM-ESM2-1",11.8717962245504
"IT-TA","CNRM-ESM2-1",16.3899535772224
"IT-TE","CNRM-ESM2-1",12.3863742060743
"IT-TN","CNRM-ESM2-1",5.3689637117655
"IT-TO","CNRM-ESM2-1",8.2734259787436
"IT-TP","CNRM-ESM2-1",17.9829467610271
"IT-TR","CNRM-ESM2-1",13.4444789063664
"IT-TS","CNRM-ESM2-1",13.3071282536504
"IT-TV","CNRM-ESM2-1",13.1391367295109
"IT-UD","CNRM-ESM2-1",10.1151982428405
"IT-VA","CNRM-ESM2-1",12.1825809109558
"IT-VB","CNRM-ESM2-1",6.18796805060589
"IT-VC","CNRM-ESM2-1",10.4171765470834
"IT-VE","CNRM-ESM2-1",13.91256387659
"IT-VI","CNRM-ESM2-1",11.2407337436684
"IT-VR","CNRM-ESM2-1",12.9781125906525
"IT-VS","CNRM-ESM2-1",16.4927091373088
"IT-VT","CNRM-ESM2-1",14.6138343281052
"IT-VV","CNRM-ESM2-1",14.9013401832221
"IT-AG","EC-Earth3-Veg",16.8528642788629
"IT-AL","EC-Earth3-Veg",12.2951435326952
"IT-AN","EC-Earth3-Veg",13.7102967636466
"IT-AO","EC-Earth3-Veg",1.65811321178253
"IT-AP","EC-Earth3-Veg",11.7270851765954
"IT-AQ","EC-Earth3-Veg",8.38934367445981
"IT-AR","EC-Earth3-Veg",11.381399943959
"IT-AT","EC-Earth3-Veg",12.5122287440515
"IT-AV","EC-Earth3-Veg",12.6517345321107
"IT-BA","EC-Earth3-Veg",15.0626776738497
"IT-BG","EC-Earth3-Veg",9.15666631826857
"IT-BI","EC-Earth3-Veg",10.1115098827365
"IT-BL","EC-Earth3-Veg",5.43715671075185
"IT-BN","EC-Earth3-Veg",13.2637009686826
"IT-BO","EC-Earth3-Veg",12.4308179598016
"IT-BR","EC-Earth3-Veg",16.3112348582181
"IT-BS","EC-Earth3-Veg",9.70386618546462
"IT-BT","EC-Earth3-Veg",15.757218208516
"IT-BZ","EC-Earth3-Veg",2.96649551990003
"IT-CA","EC-Earth3-Veg",16.3801564155032
"IT-CB","EC-Earth3-Veg",13.679018732065
"IT-CE","EC-Earth3-Veg",14.7715911189774
"IT-CH","EC-Earth3-Veg",13.0752959914481
"IT-CI","EC-Earth3-Veg",16.7891344028931
"IT-CL","EC-Earth3-Veg",16.6729673065692
"IT-CN","EC-Earth3-Veg",8.45150188754762
"IT-CO","EC-Earth3-Veg",10.1658246942258
"IT-CR","EC-Earth3-Veg",13.4744464658446
"IT-CS","EC-Earth3-Veg",13.8135709012454
"IT-CT","EC-Earth3-Veg",15.3271761509137
"IT-CZ","EC-Earth3-Veg",14.5646960610468
"IT-EN","EC-Earth3-Veg",15.4560090891732
"IT-FC","EC-Earth3-Veg",11.8121046994014
"IT-FE","EC-Earth3-Veg",13.6354675001307
"IT-FG","EC-Earth3-Veg",15.5501181859198
"IT-FI","EC-Earth3-Veg",12.3513458591557
"IT-FM","EC-Earth3-Veg",13.1128321964284
"IT-FR","EC-Earth3-Veg",12.8140535944433
"IT-GE","EC-Earth3-Veg",11.371834699938
"IT-GO","EC-Earth3-Veg",13.6309551083141
"IT-GR","EC-Earth3-Veg",14.2339479649379
"IT-IM","EC-Earth3-Veg",11.9401126157627
"IT-IS","EC-Earth3-Veg",10.8257986604396
"IT-KR","EC-Earth3-Veg",16.4128529723156
"IT-LC","EC-Earth3-Veg",9.71974698392219
"IT-LE","EC-Earth3-Veg",17.0036565855549
"IT-LI","EC-Earth3-Veg",15.419532090743
"IT-LO","EC-Earth3-Veg",13.4477477871214
"IT-LT","EC-Earth3-Veg",15.2650302355325
"IT-LU","EC-Earth3-Veg",11.7458828925115
"IT-MB","EC-Earth3-Veg",13.2681438636942
"IT-MC","EC-Earth3-Veg",11.8798526813767
"IT-ME","EC-Earth3-Veg",14.6579108280819
"IT-MI","EC-Earth3-Veg",13.6191233070117
"IT-MN","EC-Earth3-Veg",13.6337748655205
"IT-MO","EC-Earth3-Veg",11.7330719420407
"IT-MS","EC-Earth3-Veg",11.584459842459
"IT-MT","EC-Earth3-Veg",15.5436407875508
"IT-NA","EC-Earth3-Veg",16.5620710814894
"IT-NO","EC-Earth3-Veg",12.6889222628705
"IT-NU","EC-Earth3-Veg",14.6179097706914
"IT-OG","EC-Earth3-Veg",14.5912397259838
"IT-OR","EC-Earth3-Veg",16.0902089242016
"IT-OT","EC-Earth3-Veg",15.7882996982167
"IT-PA","EC-Earth3-Veg",15.5436147057153
"IT-PC","EC-Earth3-Veg",11.6093428020946
"IT-PD","EC-Earth3-Veg",13.5864486796329
"IT-PE","EC-Earth3-Veg",12.6301222790211
"IT-PG","EC-Earth3-Veg",11.7982878487171
"IT-PI","EC-Earth3-Veg",14.1421669619043
"IT-PN","EC-Earth3-Veg",10.7335651202806
"IT-PO","EC-Earth3-Veg",12.2730206992355
"IT-PR","EC-Earth3-Veg",11.1592640390328
"IT-PT","EC-Earth3-Veg",11.6543481053292
"IT-PU","EC-Earth3-Veg",12.4793259843689
"IT-PV","EC-Earth3-Veg",13.0778468698968
"IT-PZ","EC-Earth3-Veg",12.5032686298785
"IT-RA","EC-Earth3-Veg",13.2096238133086
"IT-RC","EC-Earth3-Veg",15.1374016880597
"IT-RE","EC-Earth3-Veg",11.5537566764206
"IT-RG","EC-Earth3-Veg",17.0868238654305
"IT-RI","EC-Earth3-Veg",10.4618757135861
"IT-RM","EC-Earth3-Veg",14.4130497768723
"IT-RN","EC-Earth3-Veg",12.6668024614104
"IT-RO","EC-Earth3-Veg",13.9031516277561
"IT-SA","EC-Earth3-Veg",14.075127681916
"IT-SI","EC-Earth3-Veg",12.7009097876366
"IT-SO","EC-Earth3-Veg",2.81883135904069
"IT-SP","EC-Earth3-Veg",12.8990132957551
"IT-SR","EC-Earth3-Veg",17.5123087889902
"IT-SS","EC-Earth3-Veg",15.6985086423338
"IT-SV","EC-Earth3-Veg",12.0185457007112
"IT-TA","EC-Earth3-Veg",15.9183482059454
"IT-TE","EC-Earth3-Veg",11.924472615905
"IT-TN","EC-Earth3-Veg",5.24492440672864
"IT-TO","EC-Earth3-Veg",8.30492126313745
"IT-TP","EC-Earth3-Veg",17.8636347595205
"IT-TR","EC-Earth3-Veg",12.8539508692771
"IT-TS","EC-Earth3-Veg",12.9788768489902
"IT-TV","EC-Earth3-Veg",12.830147426601
"IT-UD","EC-Earth3-Veg",9.82931388703462
"IT-VA","EC-Earth3-Veg",12.1128913768435
"IT-VB","EC-Earth3-Veg",6.09612165031063
"IT-VC","EC-Earth3-Veg",10.3751295675972
"IT-VE","EC-Earth3-Veg",13.5842644801685
"IT-VI","EC-Earth3-Veg",10.9618457221449
"IT-VR","EC-Earth3-Veg",12.6893564248352
"IT-VS","EC-Earth3-Veg",16.5581619551313
"IT-VT","EC-Earth3-Veg",14.0588887160452
"IT-VV","EC-Earth3-Veg",14.5089051939186
